City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
420,Kibala,TD,76.41,overcast clouds,9.1104,18.3463,hotel safari
421,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
422,Campobasso,IT,55.81,light rain,41.6333,14.5833,Le Casette al Colle
423,Villa Carlos Paz,AR,59.4,clear sky,-31.4241,-64.4978,Monte Carlo
424,Cidreira,BR,64.42,overcast clouds,-30.1811,-50.2056,Hotel Castelo
425,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
427,Uyuni,BO,59.59,overcast clouds,-20.4597,-66.825,Hostal La Magia de Uyuni
428,Cockburn Town,TC,83.39,clear sky,21.4612,-71.1419,Osprey Beach Hotel
429,Auki,SB,83.53,overcast clouds,-8.7676,160.7034,Auki Motel
430,Los Llanos De Aridane,ES,67.75,few clouds,28.6585,-17.9182,Valle Aridane
431,Chulumani,BO,68.94,light rain,-16.4096,-67.5263,Hotel Cabanas Paradise
432,Gushikawa,JP,78.8,light rain,26.3544,127.8686,Kirari Guest House
433,Mahon,ES,64.96,scattered clouds,39.8885,4.2658,ARTIEM Capri
